spec,compartment,plot.id,abundance
AAL,unlogged,N15_5_100,1
AAL,unlogged,N15_5_50,1
AAL,logged,N3_1_190,1
AAL,logged,N3_1_20,1
AAL,logged,N3_1_200,1
AAL,logged,N3_2_160,1
AAL,logged,N3_2_250,6
AAL,logged,N3_2_80,1
AAL,logged,N3_5_100,2
AAL,logged,N3_5_20,2
AAL,logged,N3_5_40,1
AB,unlogged,N15_1_100,1
AB,unlogged,N15_1_140,1
AB,unlogged,N15_1_150,3
AB,unlogged,N15_1_20,1
AB,unlogged,N15_1_200,6
AB,unlogged,N15_1_30,1
AB,unlogged,N15_1_50,1
AB,unlogged,N15_1_70,1
AB,unlogged,N15_2_10,1
AB,unlogged,N15_2_140,2
AB,unlogged,N15_2_160,1
AB,unlogged,N15_2_180,1
AB,unlogged,N15_2_20,1
AB,unlogged,N15_2_30,1
AB,unlogged,N15_2_40,3
AB,unlogged,N15_2_50,2
AB,unlogged,N15_2_60,1
AB,unlogged,N15_2_70,1
AB,unlogged,N15_2_80,1
AB,unlogged,N15_3_110,1
AB,unlogged,N15_3_120,1
AB,unlogged,N15_3_150,1
AB,unlogged,N15_3_170,1
AB,unlogged,N15_3_40,1
AB,unlogged,N15_3_50,1
AB,unlogged,N15_3_80,1
AB,unlogged,N15_4_100,1
AB,unlogged,N15_4_120,1
AB,unlogged,N15_4_140,1
AB,unlogged,N15_4_150,1
AB,unlogged,N15_4_160,2
AB,unlogged,N15_4_40,3
AB,unlogged,N15_4_50,1
AB,unlogged,N15_4_60,1
AB,unlogged,N15_4_70,2
AB,unlogged,N15_5_100,1
AB,unlogged,N15_5_110,1
AB,unlogged,N15_5_130,3
AB,unlogged,N15_5_140,1
AB,unlogged,N15_5_150,1
AB,unlogged,N15_5_190,1
AB,unlogged,N15_5_20,1
AB,unlogged,N15_5_200,1
AB,unlogged,N15_5_70,3
AB,unlogged,N15_5_80,1
AB,logged,N3_1_10,1
AB,logged,N3_1_130,2
AB,logged,N3_1_150,1
AB,logged,N3_1_160,1
AB,logged,N3_1_170,1
AB,logged,N3_1_180,2
AB,logged,N3_1_190,1
AB,logged,N3_1_20,1
AB,logged,N3_1_200,1
AB,logged,N3_1_30,1
AB,logged,N3_1_90,1
AB,logged,N3_2_100,2
AB,logged,N3_2_120,2
AB,logged,N3_2_160,1
AB,logged,N3_2_170,2
AB,logged,N3_2_200,2
AB,logged,N3_2_210,1
AB,logged,N3_2_220,1
