compartment,alpha_diversity,forest_layer,plot_area,plot.id
unlogged,19,canopy,1000,N15_1_10
unlogged,16,canopy,1000,N15_1_100
unlogged,11,canopy,1000,N15_1_110
unlogged,10,canopy,1000,N15_1_120
unlogged,15,canopy,1000,N15_1_130
unlogged,11,canopy,1000,N15_1_140
unlogged,13,canopy,1000,N15_1_150
unlogged,10,canopy,1000,N15_1_160
unlogged,14,canopy,1000,N15_1_170
unlogged,24,canopy,1000,N15_1_180
unlogged,18,canopy,1000,N15_1_190
unlogged,16,canopy,1000,N15_1_20
unlogged,16,canopy,1000,N15_1_200
unlogged,16,canopy,1000,N15_1_30
unlogged,18,canopy,1000,N15_1_40
unlogged,18,canopy,1000,N15_1_50
unlogged,19,canopy,1000,N15_1_60
unlogged,20,canopy,1000,N15_1_70
unlogged,17,canopy,1000,N15_1_80
unlogged,18,canopy,1000,N15_1_90
unlogged,10,canopy,1000,N15_2_10
unlogged,11,canopy,1000,N15_2_100
unlogged,12,canopy,1000,N15_2_110
unlogged,12,canopy,1000,N15_2_120
unlogged,14,canopy,1000,N15_2_130
unlogged,15,canopy,1000,N15_2_140
unlogged,15,canopy,1000,N15_2_150
unlogged,15,canopy,1000,N15_2_160
unlogged,10,canopy,1000,N15_2_170
unlogged,20,canopy,1000,N15_2_180
unlogged,18,canopy,1000,N15_2_190
unlogged,17,canopy,1000,N15_2_20
unlogged,14,canopy,1000,N15_2_200
unlogged,15,canopy,1000,N15_2_30
unlogged,15,canopy,1000,N15_2_40
unlogged,20,canopy,1000,N15_2_50
unlogged,15,canopy,1000,N15_2_60
unlogged,20,canopy,1000,N15_2_70
unlogged,14,canopy,1000,N15_2_80
unlogged,19,canopy,1000,N15_2_90
unlogged,17,canopy,1000,N15_3_10
unlogged,15,canopy,1000,N15_3_100
unlogged,20,canopy,1000,N15_3_110
unlogged,15,canopy,1000,N15_3_120
unlogged,17,canopy,1000,N15_3_130
unlogged,13,canopy,1000,N15_3_140
unlogged,18,canopy,1000,N15_3_150
unlogged,13,canopy,1000,N15_3_160
unlogged,18,canopy,1000,N15_3_170
unlogged,19,canopy,1000,N15_3_180
unlogged,19,canopy,1000,N15_3_190
unlogged,12,canopy,1000,N15_3_20
unlogged,13,canopy,1000,N15_3_200
unlogged,10,canopy,1000,N15_3_30
unlogged,15,canopy,1000,N15_3_40
unlogged,12,canopy,1000,N15_3_50
unlogged,14,canopy,1000,N15_3_60
unlogged,16,canopy,1000,N15_3_70
unlogged,14,canopy,1000,N15_3_80
unlogged,11,canopy,1000,N15_3_90
unlogged,16,canopy,1000,N15_4_10
unlogged,20,canopy,1000,N15_4_100
unlogged,21,canopy,1000,N15_4_110
unlogged,16,canopy,1000,N15_4_120
unlogged,13,canopy,1000,N15_4_130
unlogged,11,canopy,1000,N15_4_140
unlogged,14,canopy,1000,N15_4_150
unlogged,16,canopy,1000,N15_4_160
unlogged,16,canopy,1000,N15_4_170
unlogged,18,canopy,1000,N15_4_180
unlogged,20,canopy,1000,N15_4_190
unlogged,9,canopy,1000,N15_4_20
unlogged,16,canopy,1000,N15_4_30
unlogged,15,canopy,1000,N15_4_40
unlogged,13,canopy,1000,N15_4_50
unlogged,18,canopy,1000,N15_4_60
unlogged,20,canopy,1000,N15_4_70
unlogged,15,canopy,1000,N15_4_80
unlogged,16,canopy,1000,N15_4_90
unlogged,14,canopy,1000,N15_5_10
unlogged,20,canopy,1000,N15_5_100
unlogged,22,canopy,1000,N15_5_110
unlogged,21,canopy,1000,N15_5_120
unlogged,21,canopy,1000,N15_5_130
unlogged,16,canopy,1000,N15_5_140
unlogged,19,canopy,1000,N15_5_150
unlogged,12,canopy,1000,N15_5_160
unlogged,11,canopy,1000,N15_5_170
