comp,plot.id,shannon,exp_shannon,pielou,simpson,Inv_simpson,alpha_diversity,Trees(N/ha)
N15,N15_1_10,2.453339761,11.62711373,0.833211277,0.873535156,1.144773617,19,640
N15,N15_1_100,2.325013795,10.22682116,0.838571468,0.854289941,1.17056277,16,520
N15,N15_1_110,1.968513639,7.160026195,0.820933951,0.8032,1.24501992,11,500
N15,N15_1_120,1.812981569,6.128693341,0.787367891,0.778106509,1.285171102,10,520
N15,N15_1_130,2.401103609,11.03534837,0.886654024,0.886373925,1.128192032,15,470
N15,N15_1_140,1.894383577,6.648448886,0.790019314,0.799319728,1.25106383,11,420
N15,N15_1_150,2.220752272,9.214259887,0.865807454,0.87109375,1.147982063,13,640
N15,N15_1_160,1.904627113,6.716902515,0.827169045,0.821289063,1.217598097,10,640
N15,N15_1_170,2.133117169,8.441138297,0.808287545,0.832882639,1.200649351,14,430
N15,N15_1_180,2.575926703,13.14349163,0.810535894,0.868014269,1.152054794,24,580
N15,N15_1_190,2.354232356,10.53004243,0.814508497,0.84875,1.17820324,18,400
N15,N15_1_20,2.415917941,11.20004663,0.871358208,0.88999644,1.1236,16,530
N15,N15_1_200,2.107817529,8.23025937,0.760234474,0.815372212,1.22643375,16,610
N15,N15_1_30,2.321296474,10.18887536,0.837230728,0.854338843,1.170495768,16,440
N15,N15_1_40,2.2163938,9.174187188,0.766819629,0.827355759,1.208669897,18,670
N15,N15_1_50,2.418748007,11.23178839,0.83682938,0.872899408,1.145607376,18,650
N15,N15_1_60,2.387735955,10.88881325,0.810930697,0.842915346,1.186358754,19,470
N15,N15_1_70,2.50749937,12.27419842,0.837023853,0.86857761,1.151307596,20,430
N15,N15_1_80,2.466410001,11.78008037,0.870534514,0.890943878,1.122405153,17,560
N15,N15_1_90,2.504781604,12.24088532,0.866594962,0.883264463,1.132163742,18,440
N15,N15_2_10,1.59578581,4.932203325,0.693040972,0.71875,1.391304348,10,560
N15,N15_2_100,1.806263452,6.087658053,0.753270367,0.770760548,1.297419805,11,610
N15,N15_2_110,1.717797622,5.572242754,0.691292617,0.721261053,1.386460555,12,510
N15,N15_2_120,1.901977348,6.699127864,0.765411992,0.798024691,1.25309406,12,450
N15,N15_2_130,1.935972642,6.930781945,0.733584913,0.777525825,1.286130914,14,630
N15,N15_2_140,2.072729142,7.946480621,0.765395391,0.823424495,1.214440433,15,580
