comp,plot.id,shannon,exp_shannon,pielou,simpson,Inv_simpson,alpha_diversity,abundance,Trees(N/m2)
N15,N15  _5_10,0.988154224,2.686271639,0.7128026,0.515555556,1.939655171,4,75,4.6875
N15,N15  _5_100,1.768711229,5.86329205,0.768141527,0.778632866,1.284302325,10,47,2.9375
N15,N15  _5_110,2.307295964,10.04721985,0.874287928,0.870204082,1.149155722,14,35,2.1875
N15,N15  _5_120,2.684493594,14.65078026,0.947508453,0.922222222,1.08433735,17,30,1.875
N15,N15  _5_130,2.513223156,12.34465475,0.952318515,0.909722222,1.099236641,14,24,1.5
N15,N15  _5_140,1.95324597,7.051539555,0.652009523,0.692174515,1.444722362,20,76,4.75
N15,N15  _5_150,1.463425341,4.320734197,0.666033575,0.69621422,1.436339522,9,57,3.5625
N15,N15  _5_160,1.411854287,4.103557529,0.550441389,0.624426079,1.601470588,13,99,6.1875
N15,N15  _5_170,0.952724765,2.592764717,0.38340465,0.42944212,2.328602513,12,217,13.5625
N15,N15  _5_180,1.619440814,5.050265489,0.651710926,0.720210171,1.388483585,12,73,4.5625
N15,N15  _5_190,1.244471561,3.47110005,0.518984951,0.549788543,1.818881118,11,153,9.5625
N15,N15  _5_20,1.334451764,3.797913223,0.492772166,0.531514732,1.881415396,15,137,8.5625
N15,N15  _5_200,1.733185146,5.658648859,0.752712745,0.729024943,1.371695179,10,42,2.625
N15,N15  _5_30,1.647145421,5.192137287,0.686912994,0.714324106,1.399924756,11,61,3.8125
N15,N15  _5_40,1.670070989,5.312544917,0.632828613,0.709829868,1.408788282,14,92,5.75
N15,N15  _5_50,1.638220169,5.146002343,0.638694937,0.724667735,1.379942768,13,103,6.4375
N15,N15  _5_60,1.622509243,5.065785668,0.780262013,0.764621054,1.307837385,8,79,4.9375
N15,N15  _5_70,1.266381185,3.547989784,0.528121974,0.608181424,1.644246208,11,192,12
N15,N15  _5_80,2.488411039,12.04212645,0.918893984,0.8984375,1.113043478,15,32,2
N15,N15  _5_90,1.469083267,4.34524988,0.542487457,0.611467764,1.635409189,15,135,8.4375
N15,N15 _ 4_10,1.351797231,3.864364451,0.587078078,0.651183045,1.535666519,10,83,5.1875
N15,N15 _ 4_100,1.539643016,4.662925383,0.568543011,0.710943759,1.406581023,15,158,9.875
N15,N15 _ 4_110,1.560848563,4.762861118,0.62813167,0.6684375,1.49602618,12,80,5
N15,N15 _ 4_120,2.012959044,7.485434337,0.743324124,0.778285407,1.284875691,15,61,3.8125
N15,N15 _ 4_130,2.134044466,8.448969367,0.769693842,0.833610995,1.1996003,16,98,6.125
N15,N15 _ 4_140,0.552843572,1.738188662,0.39879234,0.26625,3.755868545,4,40,2.5
N15,N15 _ 4_150,2.068304324,7.911396575,0.862549899,0.840236686,1.190140846,11,26,1.625
N15,N15 _ 4_160,1.712376415,5.542116212,0.667606325,0.698469206,1.431702345,13,53,3.3125
N15,N15 _ 4_170,2.110560082,8.252862273,0.849351859,0.82962963,1.205357142,12,45,2.8125
