plot.id,compartment,CEC,Al,Ca,K,Mg,Na,PH
Logged_1_10,Logged,106.782,0.0927,1726.08,184.72,173.52,6.2,6.48
Logged_1_20,Logged,146.829,0.0927,2537.2,113.32,192.16,8.04,6.51
Logged_1_30,Logged,102.081,0.0927,1738,85.4,145.16,2.8,6.38
Logged_1_40,Logged,42.568,0.44,677.64,54.76,55.36,1.76,5.7
Logged_1_50,Logged,113.54,0.0927,1958.76,117.08,131.72,7.76,6.3
Logged_1_60,Logged,111.826,0.0927,1863.56,159.72,155.48,1.76,6.27
Logged_1_70,Logged,120.844,0.0927,1940.72,156.24,221.56,2.32,6.43
Logged_1_80,Logged,32.208,2.04,498.6,34.48,68.16,1.92,5.73
Logged_1_90,Logged,64.967,0.0927,1049.24,85.64,90.72,6.48,5.91
Logged_1_100,Logged,43.96,25.48,565.64,96.08,80,3.04,5.24
Logged_1_110,Logged,142.021,0.0927,2332.6,205.44,240.4,4,6.95
Logged_1_120,Logged,68.221,0.76,1086.04,76.2,101.6,0.92,5.72
Logged_1_130,Logged,134.171,0.0927,2254,119.52,203.96,4.12,6.29
Logged_1_140,Logged,110.669,0.0927,1838.12,107.72,174.76,4.2,6.29
Logged_1_150,Logged,139.383,0.0927,2363.56,125.16,212.64,5.04,7.06
Logged_1_160,Logged,78.077,0.0927,1169.2,108.72,153.24,5,5.96
Logged_1_170,Logged,250.986,0.0927,4709.32,185.92,132.56,2.72,6.93
Logged_1_180,Logged,66.356,2,839.8,64.2,233.12,7.16,5.77
Logged_1_190,Logged,91.38,0.0927,1361.88,57.52,241.32,16.92,6.42
Logged_1_200,Logged,95.899,0.3125,1324.36,160.84,253.8,6.4,5.91
Logged_2_10,Logged,210.989,0.0927,3886.64,176.52,148.16,6.28,7.57
Logged_2_20,Logged,103.5,0.0927,1753.12,105.04,151.8,2,6.86
Logged_2_30,Logged,160.667,0.0927,2924.44,130.68,136.28,0.5051,7.38
Logged_2_40,Logged,196.553,0.0927,3474,130.56,223.68,2.96,6.92
Logged_2_50,Logged,138.506,0.0927,2289.88,171.96,221.76,1.24,6.8
Logged_2_60,Logged,92.78,0.0927,1487.92,88.56,175.6,0.84,6.49
Logged_2_70,Logged,90.703,0.0927,1532.36,88.04,127.52,1,6.52
Logged_2_80,Logged,123.015,0.0927,2160.2,107.6,138.92,1.64,6.58
Logged_2_90,Logged,161.58,0.0927,2779.96,173.92,212.6,3.76,6.78
Logged_2_100,Logged,189.273,0.0927,3263,123.88,267.16,5.4,6.75
Logged_2_110,Logged,165.573,0.0927,2853.76,153.32,206.72,4.48,6.51
Logged_2_120,Logged,134.51,0.0927,2257.8,113.88,199.56,3.2,6.39
Logged_2_130,Logged,95.262,0.0927,1566.04,74.12,155.92,2.8,6.36
Logged_2_140,Logged,188.987,0.0927,3318.48,178.96,216.36,2.44,6.92
Logged_2_150,Logged,89.33,0.0927,1494.48,98.56,132.04,2.08,6.57
Logged_2_160,Logged,85.284,0.0927,1388.04,157.88,111.24,3.96,6.28
Logged_2_170,Logged,149.06,0.0927,2533.6,186.04,192,1.92,6.46
Logged_2_180,Logged,91.737,0.0927,1486.8,69,146.24,2.64,6.09
Logged_2_190,Logged,104.356,0.0927,1665.24,101.08,186.72,4.2,6.06
Logged_2_200,Logged,97.518,0.0927,1569.4,96.32,170.6,3.44,6.2
Logged_2_210,Logged,118.451,0.0927,1963.16,134.36,189.76,2.52,6.54
Logged_2_220,Logged,94.966,0.0927,1385.16,123.36,243.48,2.84,6.21
Logged_2_230,Logged,44.463,3.24,606.92,69.56,118.2,1.48,5.66
Logged_2_240,Logged,43.556,18.6,594.6,35.64,105.2,9.48,5.33
Logged_2_250,Logged,68.37,0.88,891.88,49.88,233.64,13.92,5.72
Logged_3_10,Logged,73.464,2.84,1004.16,82,215.52,3.72,5.7
Logged_3_20,Logged,65.842,27.04,935.84,81.96,130.56,8.44,5.37
Logged_3_30,Logged,88.85,0.0927,1461.24,86.04,134.24,3.04,5.95
Logged_3_40,Logged,57.164,0.3125,830.52,115.96,110.12,24.68,5.73
Logged_3_50,Logged,73.483,0.0927,1116.36,117.72,164.48,1.32,6.43
Logged_3_60,Logged,74.014,0.0927,1270.72,45.92,100,1.6,6.22
Logged_3_70,Logged,84.675,0.0927,1557,11.32,73.08,0.1526,6.6
Logged_3_80,Logged,70.131,0.0927,1189.2,69.12,100.88,1.64,6.49
Logged_3_90,Logged,79.657,0.0927,1211.4,102.8,165.76,1.44,6.13
Logged_3_110,Logged,65.895,0.0927,1019.04,35.88,144.8,0.5051,6.09
Logged_3_120,Logged,125.069,0.0927,2097.32,177.88,179.24,4.68,6.64
Logged_3_130,Logged,95.433,0.0927,1516.68,133.68,175.04,2.48,6.38
Logged_3_140,Logged,138.968,0.0927,2341.52,144.36,203.72,6.52,6.36
Logged_3_150,Logged,129.633,0.0927,2206.84,111.96,189.32,2.52,6.6
Logged_3_160,Logged,156.754,0.0927,2711.64,174.56,193.52,3,6.45
Logged_3_170,Logged,133.301,0.0927,2199.04,214.48,204.96,0.1526,6.52
Logged_3_180,Logged,200.613,0.0927,3472.84,109.44,278.08,0.72,6.48
Logged_3_190,Logged,141.834,0.0927,2342.2,133.88,238.48,1.24,6.39
Logged_3_200,Logged,106.629,0.0927,1648.4,114.36,244.52,0.1526,6.37
Logged_4_10,Logged,100.671,0.0927,1603.28,114.56,182.52,0.88,6.03
Logged_4_30,Logged,104.032,0.0927,1754.24,108.36,155.48,0.5051,6.39
Logged_4_40,Logged,66.17,8.08,996.92,40.04,134.96,0.5051,5.52
Logged_4_50,Logged,62.45,2.16,1011.72,47.04,94.96,1.04,5.61
Logged_4_60,Logged,74.998,0.0927,1149.56,100.28,154.04,0.5051,5.96
Logged_4_70,Logged,82.6,0.0927,1430.76,56.28,110.6,0.1526,6.37
Logged_4_90,Logged,42.109,48.48,385.36,78.2,154.44,12.68,5.09
Logged_4_100,Logged,73.916,18.24,920.4,72.24,251.12,21.4,5.19
Logged_4_110,Logged,45.028,0.3125,675.64,50.04,105.96,1.32,5.75
Logged_4_120,Logged,95.937,0.0927,1560.72,125.2,164.04,1.96,6.47
Logged_4_130,Logged,107.827,0.0927,1777.84,94.88,170.36,1.08,6.16
Logged_4_140,Logged,100.054,0.0927,1571.28,170.08,190.08,0.6,6.4
Logged_4_150,Logged,91.567,0.0927,1551.6,101.08,114.8,1.4,6.14
